policy,seed,shortfall_bps,completion_rate
twap,30000,127.2777,0.9997
lookahead,30000,134.0396,0.9998
two_step,30000,138.8930,0.9997
three_step,30000,135.7585,0.9994
clairvoyant,30000,123.4306,0.9966
twap,30001,123.4718,0.9997
lookahead,30001,121.4719,0.9999
two_step,30001,126.3634,0.9996
three_step,30001,128.1241,0.9996
clairvoyant,30001,115.9303,0.9949
twap,30002,132.1532,0.9997
lookahead,30002,108.0029,0.9998
two_step,30002,127.2242,0.9995
three_step,30002,109.1845,0.9992
clairvoyant,30002,102.5261,0.9877
twap,30003,103.4066,0.9997
lookahead,30003,120.9858,0.9998
two_step,30003,111.3438,0.9996
three_step,30003,108.4083,0.9998
clairvoyant,30003,62.4886,0.9966
twap,30004,94.0551,0.9997
lookahead,30004,48.8558,0.9999
two_step,30004,64.5640,0.9997
three_step,30004,59.2223,0.9991
clairvoyant,30004,38.6957,0.9938
twap,30005,122.6919,0.9997
lookahead,30005,114.3277,0.9998
two_step,30005,132.4519,0.9997
three_step,30005,129.8275,0.9990
clairvoyant,30005,105.0591,0.9963
twap,30006,117.8570,0.9997
lookahead,30006,131.7431,0.9999
two_step,30006,157.1133,0.9996
three_step,30006,137.2237,0.9990
clairvoyant,30006,96.8151,0.9818
twap,30007,87.4975,0.9997
lookahead,30007,51.0753,0.9998
two_step,30007,73.1336,0.9996
three_step,30007,67.5255,0.9995
clairvoyant,30007,41.6773,0.9923
twap,30008,102.1139,0.9997
lookahead,30008,72.1249,0.9998
two_step,30008,73.3361,0.9996
three_step,30008,74.7076,0.9995
clairvoyant,30008,54.0891,0.9952
twap,30009,136.8426,0.9997
lookahead,30009,134.4513,0.9998
two_step,30009,136.0260,0.9995
three_step,30009,131.8407,0.9991
clairvoyant,30009,125.1733,0.9945
twap,30010,102.8054,0.9997
lookahead,30010,61.1277,0.9998
two_step,30010,71.3769,0.9996
three_step,30010,68.7367,0.9996
clairvoyant,30010,36.5526,0.9945
twap,30011,108.9492,0.9997
lookahead,30011,115.4154,0.9998
two_step,30011,144.5790,0.9995
three_step,30011,123.3071,0.9994
clairvoyant,30011,105.5634,0.9912
twap,30012,121.2666,0.9997
lookahead,30012,105.8145,0.9998
two_step,30012,106.7032,0.9996
three_step,30012,99.4037,0.9992
clairvoyant,30012,91.1101,0.9975
twap,30013,117.5874,0.9997
lookahead,30013,109.7397,0.9998
two_step,30013,142.2562,0.9996
three_step,30013,127.8286,0.9993
clairvoyant,30013,103.4501,0.9959
twap,30014,104.4261,0.9997
lookahead,30014,104.4277,0.9998
two_step,30014,130.5820,0.9997
three_step,30014,91.3943,0.9994
clairvoyant,30014,81.5519,0.9966
twap,30015,120.5051,0.9997
lookahead,30015,128.1553,0.9997
two_step,30015,141.6956,0.9995
three_step,30015,129.1564,0.9991
clairvoyant,30015,91.1954,0.9931
twap,30016,104.5785,0.9997
lookahead,30016,67.1436,0.9998
two_step,30016,94.2689,0.9996
three_step,30016,76.4342,0.9994
clairvoyant,30016,53.3725,0.9847
twap,30017,121.2350,0.9997
lookahead,30017,114.7698,0.9998
two_step,30017,130.6730,0.9997
three_step,30017,117.0661,0.9991
clairvoyant,30017,96.1987,0.9934
twap,30018,103.5732,0.9997
lookahead,30018,65.3076,0.9998
two_step,30018,75.7878,0.9996
three_step,30018,71.3568,0.9990
